admin3_pcode,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,total_idps,fatalities,score_i,index_battles,index_explosions_remote_violence,index_violence_against_civilians,index_fatalities,index_strategic_developments,index_protests_and_riots,env_battles,env_explosions_remote_violence,env_violence_against_civilians,env_fatalities,score_env,admin1,admin3,partners,beneficiaries,old_conflict_score
MMR014016,10,4,0,12,5,5175,4,0.046754991140491954,0.06535947712418298,0.051948051948051945,0.10416666666666666,0.00740740740740741,0.12903225806451615,0,0.06535947712418301,0.05194805194805195,0.10416666666666667,0.007407407407407408,0.057220400786577266,Shan-South,Mongkaing,NA,NA,0.049688892305802305
MMR014017,0,0,0,1,3,0,0,0.005397699336857055,0,0,0.0625,0,0.010752688172043019,0,0,0,0.0625,0,0.015625,Shan-South,Monghsu,NA,NA,0.008654205657094075
MMR014019,1,0,0,0,0,0,0,9.693071355194502e-4,0.006535947712418299,0,0,0,0,0,0.006535947712418301,0,0,0,0.0016339869281045752,Shan-South,Mongnai,1,49,0.0014978186424107346
MMR014021,2,1,0,0,0,400,4,0.0050671132949059745,0.013071895424836598,0.012987012987012991,0,0.00740740740740741,0,0,0.013071895424836602,0.012987012987012988,0,0.007407407407407408,0.008366578954814248,Shan-South,Mongpan,1,8,0.006081519301586935
MMR015001,20,21,14,25,10,123,26,0.14594763209782843,0.130718954248366,0.2727272727272727,0.20833333333333331,0.04814814814814815,0.2688172043010753,0.39999999999999997,0.13071895424836602,0.2727272727272727,0.20833333333333334,0.04814814814814815,0.16498192711428006,Shan-North,Lashio,1,29963,0.21486220402348732
MMR015002,25,5,0,4,3,340,70,0.054342435583423124,0.1633986928104575,0.06493506493506494,0.0625,0.12962962962962962,0.043010752688172046,0,0.16339869281045752,0.06493506493506493,0.0625,0.12962962962962962,0.10511584684378802,Shan-North,Hseni,3,886,0.08359282671948852
MMR015003,0,5,0,1,6,0,2,0.015498041772675657,0,0.06493506493506494,0.125,0.0037037037037037095,0.010752688172043019,0,0,0.06493506493506493,0.125,0.003703703703703704,0.04840969215969216,Shan-North,Mongyai,NA,NA,0.024890690842626
MMR015004,0,1,0,2,6,155,1,0.012488306677494477,0,0.012987012987012991,0.125,0.0018518518518518506,0.021505376344086023,0,0,0.012987012987012988,0.125,0.001851851851851852,0.03495971620971621,Shan-North,Tangyan,NA,NA,0.019286058270051365
MMR015005,1,0,0,0,0,0,0,9.693071355194502e-4,0.006535947712418299,0,0,0,0,0,0.006535947712418301,0,0,0,0.0016339869281045752,Shan-North,Pangsang (Panghkam),NA,NA,0.0014978186424107346
MMR015009,153,42,12,47,23,2593,301,0.3951881894496473,1,0.5454545454545454,0.47916666666666674,0.5574074074074074,0.5053763440860215,0.34285714285714286,1,0.5454545454545454,0.4791666666666667,0.5574074074074075,0.6455071548821548,Shan-North,Muse,1,200,0.5957044863219239
MMR015010,7,11,4,4,12,855,9,0.06255535668467041,0.045751633986928095,0.14285714285714285,0.25000000000000006,0.016666666666666673,0.043010752688172046,0.1142857142857143,0.0457516339869281,0.14285714285714285,0.25,0.016666666666666666,0.1138188608776844,Shan-North,Namhkan,2,1376,0.09089691208319711
